performance_score,avg_training_score,training_efficiency,score_per_age,previous_year_rating,award_score,recruitment_channel_sourcing,gender_m,awards_won?,department_Sales & Marketing,joining_age,length_of_service,training_frequency,region_region_2,education_Master's & above,no_of_trainings,department_Operations,age,experience_ratio,department_Procurement,is_promoted
245.0,49,49.0,1.4,5.0,0,1,0,0,1,27,8,0.111,0,1,1,0,35,0.229,0,0
300.0,60,60.0,2.0,5.0,0,0,1,0,0,26,4,0.2,0,0,1,1,30,0.133,0,0
150.0,50,50.0,1.471,3.0,0,1,1,0,1,27,7,0.125,0,0,1,0,34,0.206,0,0
50.0,50,25.0,1.282,1.0,0,0,1,0,1,29,10,0.182,0,0,2,0,39,0.256,0,0
219.0,73,73.0,1.622,3.0,0,0,1,0,0,43,2,0.333,0,0,1,0,45,0.044,0,0
255.0,85,42.5,2.742,3.0,0,1,1,0,0,24,7,0.25,1,0,2,0,31,0.226,0,0
177.0,59,59.0,1.903,3.0,0,0,0,0,0,26,5,0.167,0,0,1,1,31,0.161,0,0
189.0,63,63.0,1.909,3.0,0,1,1,0,0,27,6,0.143,0,1,1,1,33,0.182,0,0
332.0,83,83.0,2.964,4.0,0,0,1,0,0,23,5,0.167,0,0,1,0,28,0.179,0,0
270.0,54,54.0,1.688,5.0,0,1,1,0,1,27,5,0.167,0,1,1,0,32,0.156,0,0
231.0,77,77.0,2.567,3.0,0,1,1,0,0,29,1,0.5,0,0,1,0,30,0.033,0,0
250.0,50,50.0,1.429,5.0,0,1,0,0,1,32,3,0.25,0,0,1,0,35,0.086,0,1
245.0,49,49.0,1.0,5.0,0,1,1,0,1,44,5,0.167,0,0,1,0,49,0.102,0,0
240.0,80,40.0,2.051,3.0,0,0,1,0,0,23,16,0.118,0,1,2,0,39,0.41,0,0
252.0,84,84.0,2.27,3.0,0,1,1,0,0,30,7,0.125,1,1,1,0,37,0.189,0,0
60.0,60,60.0,1.622,1.0,0,0,1,0,0,27,10,0.091,0,0,1,1,37,0.27,0,0
231.0,77,77.0,2.026,3.0,0,0,1,0,0,33,5,0.167,1,0,1,0,38,0.132,0,0
51.0,51,51.0,1.5,1.0,0,0,1,0,1,30,4,0.2,0,0,1,0,34,0.118,0,0
230.0,46,46.0,1.353,5.0,0,0,1,0,1,26,8,0.111,0,0,1,0,34,0.235,0,0
177.0,59,59.0,1.595,3.0,0,0,1,0,0,28,9,0.1,0,0,1,1,37,0.243,0,0
225.0,75,75.0,2.143,3.0,0,0,1,0,0,28,7,0.125,0,0,1,0,35,0.2,1,0
228.0,57,57.0,1.39,4.0,0,1,1,0,0,30,11,0.083,0,0,1,1,41,0.268,0,0
189.0,63,63.0,2.25,3.0,0,0,0,0,0,24,4,0.2,0,0,1,0,28,0.143,0,0
210.0,70,70.0,2.593,3.0,0,0,1,0,0,26,1,0.5,0,0,1,0,27,0.037,1,0
295.0,59,29.5,1.513,5.0,0,1,1,0,0,32,7,0.25,0,1,2,0,39,0.179,0,0
415.0,83,83.0,3.074,5.0,0,0,1,0,0,24,3,0.25,0,0,1,0,27,0.111,0,0
340.0,68,68.0,2.194,5.0,0,0,1,0,0,27,4,0.2,0,0,1,0,31,0.129,1,0
316.0,79,79.0,2.394,4.0,0,0,1,0,0,29,4,0.2,0,0,1,0,33,0.121,0,0
400.0,80,80.0,2.759,5.0,0,0,1,0,0,26,3,0.25,0,0,1,0,29,0.103,0,0
132.0,44,44.0,1.692,3.0,0,1,1,0,1,25,1,0.5,0,0,1,0,26,0.038,0,0
360.0,72,72.0,1.946,5.0,0,1,1,0,0,27,10,0.091,0,0,1,0,37,0.27,1,0
61.0,61,30.5,2.346,1.0,0,0,1,0,0,24,2,0.667,0,0,2,0,26,0.077,0,0
48.0,48,48.0,2.0,1.0,0,1,0,0,1,22,2,0.333,0,0,1,0,24,0.083,0,0
232.0,58,29.0,1.018,4.0,0,1,1,0,0,51,6,0.286,1,0,2,1,57,0.105,0,0
435.0,87,43.5,3.222,5.0,0,0,1,0,0,24,3,0.5,0,0,2,0,27,0.111,0,0
94.0,47,47.0,1.175,2.0,0,0,1,0,1,36,4,0.2,0,0,1,0,40,0.1,0,0
300.0,75,75.0,2.273,4.0,0,1,1,0,0,29,4,0.2,0,0,1,0,33,0.121,0,0
235.0,47,47.0,1.175,5.0,0,1,0,0,1,37,3,0.25,0,0,1,0,40,0.075,0,0
255.0,51,51.0,1.214,5.0,0,0,1,0,1,37,5,0.167,0,1,1,0,42,0.119,0,0
255.0,51,51.0,1.545,5.0,0,1,1,0,1,27,6,0.143,0,0,1,0,33,0.182,0,1
240.0,80,80.0,2.353,3.0,0,0,1,0,0,24,10,0.091,0,0,1,0,34,0.294,0,0
228.0,57,28.5,2.478,4.0,0,0,0,0,0,21,2,0.667,1,0,2,1,23,0.087,0,0
208.0,52,52.0,0.881,4.0,0,1,1,0,0,33,26,0.037,1,0,1,0,59,0.441,0,0
96.0,48,16.0,2.0,2.0,0,0,1,0,1,22,2,1.0,1,0,3,0,24,0.083,0,0
440.0,88,88.0,2.0,5.0,0,0,1,0,0,32,12,0.077,1,0,1,0,44,0.273,0,0
355.0,71,71.0,1.42,5.0,0,1,0,0,0,39,11,0.083,0,0,1,0,50,0.22,1,0
284.0,71,71.0,1.919,4.0,0,0,0,0,0,33,4,0.2,0,1,1,0,37,0.108,1,0
240.0,80,80.0,2.0,3.0,0,1,1,0,0,29,11,0.083,0,0,1,0,40,0.275,0,0
147.0,49,49.0,1.633,3.0,0,1,1,0,1,27,3,0.25,0,0,1,0,30,0.1,0,0
219.0,73,73.0,1.304,3.0,0,1,0,0,0,44,12,0.077,1,1,1,0,56,0.214,1,0
240.0,60,60.0,3.0,4.0,0,1,1,0,0,18,2,0.333,1,0,1,0,20,0.1,0,0
144.0,48,48.0,1.548,3.0,0,1,0,0,1,23,8,0.111,0,0,1,0,31,0.258,0,0
